assembly	accession	host
GCA_018603495.1	ASM1860349v1	Cucumber
GCA_000145945.2	ASM14594v2	Tobacco
GCA_000156995.2	ASM15699v2	Rice
GCA_000512275.1	ASM51227v1	Bean
GCA_000012205.1	ASM1220v1	Kidney beans
GCA_016694755.2	ASM1669475v2	Prunus
GCA_000145825.2	ASM14582v2	Citrus
GCA_002763655.1	ASM276365v1	Kiwifruit
GCA_000145845.2	ASM14584v2	Env. sample
GCA_000452445.3	ASM45244v3	Bean
GCA_002905815.2	ASM290581v2	Prunus
GCA_023277945.1	ASM2327794v1	Prunus
GCA_900235825.1	CFBP4215	Prunus
GCA_900235865.1	CFBP2118	Prunus
GCA_000988485.1	ASM98848v1	Pear
GCA_000012245.1	ASM1224v1	Bean
GCA_000988395.1	ASM98839v1	Millet
GCA_000007805.1	ASM780v1	Tomato
GCA_023278125.1	ASM2327812v1	Prunus
